north(m) east(m),
817676.557 835520.5754,
817679.7305 835519.548,
817682.9039 835518.5206,
817686.0774 835517.4932,
817691.5599 835515.7925,
817696.0842 835514.3891,
817700.6086 835512.9856,
817705.133 835511.5822,
817709.6573 835510.1787,
817714.1817 835508.7752,
817718.706 835507.3718,
817723.2304 835505.9683,
817727.7548 835504.5648,
817732.2791 835503.1614,
817736.8035 835501.7579,
817741.3279 835500.3545,
817745.8522 835498.951,
817750.3766 835497.5475,
817754.9009 835496.1441,
817759.4253 835494.7406,
817762.9739 835494.3819,
817766.5225 835494.0232,
817770.0711 835493.6645,
817774.5199 835492.1034,
817778.9687 835490.5422,
817783.4175 835488.9811,
817787.8663 835487.4199,
817792.3151 835485.8588,
817796.7639 835484.2976,
817800.8972 835482.937,
817805.0304 835481.5764,
817809.1637 835480.2157,
817813.2969 835478.8551,
817816.9518 835477.0198,
817820.6067 835475.1844,
817824.2615 835473.3491,
817827.9164 835471.5137,
817831.1599 835469.4252,
817834.4034 835467.3367,
817837.6469 835465.2482,
817840.8904 835463.1597,
817844.2789 835460.6801,
817847.6675 835458.2006,
817851.056 835455.721,
817853.8967 835453.5213,
817856.7373 835451.3217,
817859.578 835449.122,
817863.0033 835446.3527,
817866.4287 835443.5835,
817869.854 835440.8142,
817873.56 835437.5526,
817877.266 835434.2911,
817880.9719 835431.0295,
817884.6779 835427.7679,
817888.3839 835424.5063,
817892.0899 835421.2448,
817895.7958 835417.9832,
