north(m) east(m),
817111.8169 839166.6787,
817114.479 839167.4597,
817119.1245 839166.4758,
817123.7699 839165.4918,
817127.8219 839166.6965,
817131.8738 839167.9011,
817136.5566 839169.2933,
817141.2395 839170.6855,
817145.9223 839172.0776,
817150.6052 839173.4698,
817155.288 839174.862,
817159.3582 839176.0656,
817163.4285 839177.2691,
817167.4987 839178.4727,
817170.6699 839179.6119,
817173.841 839180.751,
817176.543 839181.9465,
817179.2449 839183.1419,
817181.784 839184.4275,
817184.323 839185.713,
817187.4463 839187.5503,
817190.5695 839189.3875,
817193.6978 839191.5183,
817196.826 839193.649,
817200.212 839196.1838,
817203.598 839198.7186,
817203.598 839198.7186,
817205.8284 839200.6833,
817205.8284 839200.6833,
817207.688 839202.602,
817207.688 839202.602,
817209.5944 839204.9963,
817209.5944 839204.9963,
817211.6894 839208.1185,
817211.6894 839208.1185,
817213.993 839211.817,
817216.571 839216.0574,
817219.149 839220.2978,
817219.149 839220.2978,
817221.4582 839224.7173,
817221.4582 839224.7173,
817222.9331 839228.152,
817224.2788 839232.009,
817225.3496 839235.226,
817225.9763 839238.0715,
817226.603 839240.917,
817226.8342 839243.4161,
817227.0654 839245.9152,
817227.0767 839249.2361,
817227.088 839252.557,
817226.963 839255.2698,
817226.838 839257.9826,
817226.5705 839260.5343,
817226.303 839263.086,
817225.7208 839266.1872,
817225.1386 839269.2884,
817224.0003 839273.6652,
817222.862 839278.042,
817221.8196 839281.3581,
817220.7771 839284.6743,
817219.7347 839287.9904,
817217.9044 839292.6185,
817216.0741 839297.2466,
817214.2438 839301.8747,
817212.4134 839306.5028,
817210.5831 839311.131,
817208.7528 839315.7591,
817206.9225 839320.3872,
817205.0922 839325.0153,
817203.2619 839329.6434,
817201.4315 839334.2715,
817199.6012 839338.8996,
817197.7709 839343.5277,
817195.9406 839348.1558,
817194.1103 839352.7839,
817192.28 839357.4121,
817190.4496 839362.0402,
817188.6193 839366.6683,
817186.789 839371.2964,
817184.9587 839375.9245,
817183.182 839379.8096,
817181.4053 839383.6947,
817179.6287 839387.5799,
817177.852 839391.465,
817176.0753 839395.3501,
817174.4903 839399.8564,
817172.9054 839404.3627,
817171.3204 839408.869,
817169.7354 839413.3752,
817168.1505 839417.8815,
817166.5655 839422.3878,
817164.9805 839426.8941,
817163.3955 839431.4004,
817161.8106 839435.9067,
817160.2256 839440.413,
817158.6406 839444.9192,
817157.0557 839449.4255,
817155.4707 839453.9318,
817153.8857 839458.4381,
817152.3008 839462.9444,
817150.7158 839467.4507,
817149.1308 839471.9569,
817147.5458 839476.4632,
817145.9609 839480.9695,
817144.3759 839485.4758,
817142.9815 839489.7678,
817141.587 839494.0597,
817140.1926 839498.3517,
817138.7982 839502.6437,
817137.4038 839506.9357,
817136.0093 839511.2276,
817134.6149 839515.5196,
817133.2838 839519.2276,
817131.9528 839522.9355,
817130.6217 839526.6435,
817129.2906 839530.3514,
817127.7694 839534.408,
817126.2482 839538.4645,
817124.727 839542.5211,
817123.2058 839546.5776,
817121.6846 839550.6342,
817120.1634 839554.6907,
817118.3118 839559.0902,
817116.4602 839563.4897,
817114.6086 839567.8892,
817112.757 839572.2887,
817111.0438 839575.9844,
817109.3307 839579.6801,
817107.6175 839583.3758,
817105.9043 839587.0715,
817103.8112 839590.9141,
817101.7181 839594.7566,
817099.625 839598.5992,
817097.5319 839602.4417,
817095.4388 839606.2843,
817092.9474 839610.6059,
817090.456 839614.9275,
817087.9645 839619.249,
817085.4731 839623.5706,
817082.9817 839627.8922,
817080.2091 839631.9339,
817077.4365 839635.9757,
817074.664 839640.0174,
817071.8914 839644.0591,
817069.1188 839648.1009,
817066.3462 839652.1426,
817063.4505 839655.812,
817060.5548 839659.4814,
817057.6591 839663.1508,
817054.7633 839666.8203,
817051.8676 839670.4897,
817048.9719 839674.1591,
817046.0762 839677.8285,
817043.1805 839681.4979,
817040.2848 839685.1673,
817037.389 839688.8368,
817034.4933 839692.5062,
817031.5976 839696.1756,
817028.7019 839699.845,
817025.7753 839703.5536,
817022.8486 839707.2622,
817019.922 839710.9707,
817016.9954 839714.6793,
817014.0688 839718.3879,
817011.1421 839722.0965,
817008.2155 839725.805,
817005.2889 839729.5136,
817002.3623 839733.2222,
816999.4356 839736.9308,
816996.509 839740.6394,
816993.5824 839744.3479,
816990.6557 839748.0565,
816987.7291 839751.7651,
816984.8025 839755.4737,
816981.8759 839759.1822,
816978.9492 839762.8908,
816976.0226 839766.5994,
816973.1045 839770.4973,
816970.1863 839774.3953,
816967.2682 839778.2932,
816964.3501 839782.1911,
816961.4319 839786.0891,
816958.5138 839789.987,
816955.5956 839793.885,
816952.6775 839797.7829,
816949.7594 839801.6808,
816946.8412 839805.5788,
816943.9231 839809.4767,
816941.6503 839812.8251,
816939.3775 839816.1736,
816937.1046 839819.522,
816934.8318 839822.8705,
816932.559 839826.2189,
816928.1563 839828.2483,
816923.7536 839830.2776,
816921.0901 839834.3365,
816918.4267 839838.3955,
816915.7632 839842.4544,
816913.0997 839846.5134,
816910.4362 839850.5723,
816907.7728 839854.6313,
816905.1093 839858.6902,
816902.4458 839862.7492,
816899.7824 839866.8081,
816897.1189 839870.8671,
816894.4554 839874.926,
816891.792 839878.985,
816889.1285 839883.0439,
816886.465 839887.1029,
816883.8015 839891.1618,
816881.1381 839895.2208,
816878.4746 839899.2797,
816876.0242 839903.2238,
816873.5738 839907.1679,
816871.1234 839911.112,
816868.6729 839915.0561,
816866.2225 839919.0002,
816863.7721 839922.9443,
816861.3217 839926.8883,
816858.8713 839930.8324,
816856.4209 839934.7765,
816853.9704 839938.7206,
816851.52 839942.6647,
816849.0696 839946.6088,
816849.0696 839946.6088,
816845.5991 839947.8072,
816843.5221 839951.4735,
816841.4451 839955.1397,
816839.3681 839958.806,
816837.2911 839962.4723,
816835.2141 839966.1385,
816833.1371 839969.8048,
816831.087 839973.8026,
816829.0368 839977.8004,
816826.9867 839981.7982,
816824.9365 839985.796,
816822.8864 839989.7937,
816820.8362 839993.7915,
816818.7861 839997.7893,
816816.7359 840001.7871,
816816.7359 840001.7871,
816815.3739 840005.076,
816813.6002 840009.3591,
816811.8266 840013.6422,
816810.0529 840017.9253,
816808.2792 840022.2084,
816806.4395 840026.6509,
816804.5999 840031.0934,
816802.7602 840035.5359,
816800.9205 840039.9784,
816799.0461 840043.8834,
816797.1716 840047.7885,
816795.2972 840051.6935,
816793.6571 840054.7394,
816792.0169 840057.7854,
816790.3768 840060.8313,
816788.0806 840064.4161,
816785.7845 840068.0009,
816783.4883 840071.5858,
816781.1922 840075.1706,
816778.896 840078.7554,
816776.3187 840081.9185,
816773.7413 840085.0816,
816771.164 840088.2447,
816769.1206 840090.4468,
816767.0771 840092.6488,
816767.0771 840092.6488,
816764.3313 840095.6077,
816760.636 840098.7008,
816756.9407 840101.7939,
816756.9407 840101.7939,
816753.7105 840104.3456,
816748.9291 840107.4605,
816745.443 840109.5521,
816742.4006 840111.2635,
816739.3581 840112.9748,
816735.8087 840114.6228,
816732.2592 840116.2708,
816729.2802 840117.2216,
816726.3011 840118.1723,
816726.3011 840118.1723,
816724.05 840118.8072,
816724.05 840118.8072,
816721.3572 840119.5667,
816718.2514 840120.3907,
816715.1456 840121.2147,
816712.268 840121.7218,
816709.3903 840122.2288,
816706.6649 840122.4824,
816703.9394 840122.7359,
816700.5167 840122.8627,
816697.0939 840122.9894,
816693.3543 840122.7359,
816689.6147 840122.4824,
816686.192 840122.2289,
816682.7692 840121.9753,
816682.7692 840121.9753,
816678.7651 840121.0702,
816674.8788 840120.1917,
816670.9925 840119.3132,
816666.7064 840118.0569,
816663.64 840117.1581,
816660.0272 840115.8144,
816656.4143 840114.4707,
816652.4212 840112.7593,
816648.428 840111.0479,
816645.2588 840109.2098,
816642.0896 840107.3717,
816639.2374 840105.4829,
816636.3851 840103.594,
816633.4695 840101.5658,
816630.5538 840099.5375,
816626.7285 840096.4912,
816622.9032 840093.4449,
816620.4155 840090.9895,
816617.9278 840088.5341,
816615.3291 840085.9988,
816612.7303 840083.4634,
816610.591 840081.1017,
816608.4517 840078.7399,
816606.319 840076.0056,
816604.1862 840073.2713,
816601.5875 840069.6585,
816598.9887 840066.0456,
816597.5309 840063.8906,
816596.0731 840061.7355,
816593.9815 840057.7423,
816591.8898 840053.7491,
816590.1151 840049.6926,
816588.3403 840045.636,
816586.5656 840041.1358,
816584.7908 840036.6356,
816583.7767 840033.0861,
816582.7625 840029.5366,
816581.9597 840025.9871,
816581.1568 840022.4377,
816580.354 840018.8882,
816579.6568 840016.0993,
816578.9595 840013.3104,
816577.3394 840011.1141,
816575.7192 840008.9177,
816575.4092 840005.2597,
816575.0992 840001.6017,
816574.9752 839997.2617,
816574.8512 839992.9216,
816574.9752 839988.0856,
816575.0992 839983.2495,
816575.7192 839978.8475,
816576.3392 839974.4454,
816577.3933 839970.1674,
816578.4473 839965.8893,
816579.5633 839962.0453,
816580.6793 839958.2013,
816582.3533 839953.9233,
816584.0273 839949.6452,
816585.6393 839946.6278,
816587.2514 839943.6105,
816588.8634 839940.5931,
816591.0127 839937.2864,
816593.1621 839933.9797,
816595.3114 839930.673,
816597.374 839927.8498,
816599.4365 839925.0265,
816602.3437 839922.1531,
