north(m) east(m),
821742.3388 831966.6942,
821744.9379 831962.4476,
821747.537 831958.201,
821750.2693 831954.7155,
821753.0017 831951.23,
821755.734 831947.7445,
821758.4663 831944.259,
821761.1987 831940.7735,
821763.931 831937.288,
821767.096 831933.6381,
821770.261 831929.9883,
821773.426 831926.3384,
821776.591 831922.6886,
821779.756 831919.0387,
821782.921 831915.3889,
821786.086 831911.739,
821788.2287 831909.172,
821790.3714 831906.6051,
821792.5141 831904.0381,
821794.6711 831901.4541,
821796.828 831898.87,
821796.828 831898.87,
821798.6594 831896.6903,
821801.2773 831893.5745,
821803.8952 831890.4587,
821806.5131 831887.3428,
821809.131 831884.227,
821812.3982 831880.6503,
821815.6653 831877.0735,
821818.9506 831873.4769,
821822.2359 831869.8803,
821825.5212 831866.2838,
821828.8064 831862.6872,
821832.0917 831859.0906,
821835.377 831855.494,
821838.5347 831852.2429,
821841.6924 831848.9918,
821844.8501 831845.7407,
821848.0078 831842.4896,
821851.1655 831839.2385,
821854.3232 831835.9874,
821857.4809 831832.7363,
821860.6386 831829.4852,
821863.7963 831826.2341,
821866.954 831822.983,
821870.372 831819.656,
821873.79 831816.329,
821877.208 831813.002,
821880.626 831809.675,
821884.044 831806.348,
821887.462 831803.021,
821890.88 831799.694,
821893.424 831797.222,
821895.968 831794.75,
821898.512 831792.278,
821902.2144 831789.1648,
821905.9168 831786.0516,
821909.6192 831782.9384,
821913.3216 831779.8252,
821917.024 831776.712,
821920.8495 831773.7214,
821924.675 831770.7308,
821928.5006 831767.7402,
821932.3261 831764.7496,
821936.1516 831761.759,
821939.3138 831759.4042,
821942.4761 831757.0494,
821945.6383 831754.6945,
821948.8005 831752.3397,
821951.402 831750.0073,
821954.0036 831747.6748,
821956.6051 831745.3424,
821958.0853 831742.7858,
821959.5654 831740.2291,
821963.7447 831737.573,
821967.924 831734.9169,
821972.1033 831732.2608,
821976.2826 831729.6047,
821980.4619 831726.9486,
821984.6412 831724.2926,
821988.8205 831721.6365,
821992.9998 831718.9804,
821997.1791 831716.3243,
822001.3584 831713.6682,
822005.5377 831711.0121,
822009.717 831708.356,
822013.6182 831706.0231,
822017.5194 831703.6902,
822021.4207 831701.3573,
822025.3219 831699.0244,
822029.2231 831696.6916,
822033.1243 831694.3587,
822037.0256 831692.0258,
822040.9268 831689.6929,
822044.828 831687.36,
822044.828 831687.36,
822047.7838 831685.6024,
822051.1212 831683.6179,
822054.4586 831681.6335,
822057.796 831679.649,
822062.1707 831677.2605,
822066.5453 831674.872,
822070.92 831672.4835,
822075.2947 831670.095,
822079.6693 831667.7065,
822084.044 831665.318,
822087.8832 831663.1552,
822091.7223 831660.9923,
822095.5615 831658.8295,
822099.4007 831656.6667,
822103.2398 831654.5038,
822107.079 831652.341,
822111.4771 831650.2397,
822115.8753 831648.1384,
822120.2734 831646.0371,
822124.6716 831643.9359,
822129.0697 831641.8346,
822133.4679 831639.7333,
822137.866 831637.632,
822142.3845 831635.6887,
822146.9029 831633.7454,
822151.4214 831631.8021,
822155.9398 831629.8588,
822160.4583 831627.9156,
822164.9767 831625.9723,
822169.4952 831624.029,
822174.0136 831622.0857,
822178.5321 831620.1424,
822183.0505 831618.1991,
822187.434 831616.3,
822191.8175 831614.401,
822196.201 831612.5019,
822200.5845 831610.6028,
822204.9406 831608.5415,
822209.2967 831606.4801,
822213.6528 831604.4188,
822218.0088 831602.3574,
822222.3649 831600.2961,
822226.721 831598.2347,
822230.407 831596.4379,
822234.093 831594.6411,
822237.7789 831592.8442,
822241.4649 831591.0474,
822245.1509 831589.2506,
822245.1509 831589.2506,
822249.4302 831587.1646,
822252.8815 831585.5379,
822256.3328 831583.9111,
822259.7841 831582.2844,
822263.5691 831580.5004,
822267.354 831578.7164,
822271.464 831577.0611,
822275.5739 831575.4057,
822278.3709 831573.8074,
822281.1679 831572.2091,
822281.1679 831572.2091,
822283.9079 831569.6974,
822283.9079 831569.6974,
822284.9061 831566.7281,
822289.4567 831564.8543,
822294.0073 831562.9806,
822298.5579 831561.1068,
822303.1085 831559.2331,
822307.6591 831557.3593,
822312.2097 831555.4855,
822316.7602 831553.6118,
822321.3108 831551.738,
822325.8614 831549.8643,
822330.412 831547.9905,
822334.9626 831546.1167,
822339.5132 831544.243,
822344.0638 831542.3692,
822348.6144 831540.4955,
822353.165 831538.6217,
822357.7156 831536.7479,
822362.2662 831534.8742,
822366.8168 831533.0004,
822371.3673 831531.1267,
822375.9179 831529.2529,
822380.4685 831527.3792,
822385.0191 831525.5054,
822389.5697 831523.6316,
822394.1203 831521.7579,
822398.6709 831519.8841,
822403.2215 831518.0104,
822407.7721 831516.1366,
822412.3227 831514.2628,
822416.8733 831512.3891,
822421.4239 831510.5153,
822425.9744 831508.6416,
822430.525 831506.7678,
822435.0756 831504.894,
822439.6262 831503.0203,
822444.1768 831501.1465,
822448.7274 831499.2728,
822453.278 831497.399,
822457.459 831495.3138,
822461.64 831493.2285,
822465.821 831491.1433,
822470.002 831489.058,
822471.7337 831488.2165,
822474.653 831486.798,
822478.862 831484.1218,
822483.071 831481.4456,
822487.28 831478.7694,
822491.489 831476.0932,
822495.698 831473.417,
822499.7965 831470.8225,
822503.895 831468.228,
822507.9935 831465.6335,
822512.092 831463.039,
822512.4238 831462.8319,
822516.0089 831460.5934,
822517.073 831459.929,
822520.954 831457.479,
822524.65 831454.3017,
822528.346 831451.1243,
822532.0421 831447.947,
822535.7381 831444.7696,
822539.4341 831441.5923,
822543.1301 831438.4149,
822546.8262 831435.2376,
822550.5222 831432.0602,
822554.2182 831428.8829,
822556.8616 831426.6096,
822559.5049 831424.3363,
822562.1483 831422.063,
822562.1483 831422.063,
822564.8256 831419.6219,
822564.8256 831419.6219,
822567.5408 831417.1463,
822570.9032 831413.5619,
822574.2656 831409.9775,
822577.6279 831406.393,
822580.9903 831402.8086,
822584.3527 831399.2242,
822587.723 831395.616,
822591.0933 831392.0078,
822594.4636 831388.3996,
822597.8339 831384.7914,
822601.2042 831381.1831,
822604.5745 831377.5749,
822607.9448 831373.9667,
822611.3151 831370.3585,
822614.245 831366.643,
822617.1749 831362.9276,
822620.1049 831359.2121,
822623.0348 831355.4966,
822625.9647 831351.7812,
822628.8946 831348.0657,
822631.8246 831344.3503,
822634.7545 831340.6348,
822637.6844 831336.9193,
822640.6143 831333.2039,
822643.5442 831329.4884,
822646.4742 831325.7729,
822649.4041 831322.0575,
822652.334 831318.342,
822654.7046 831315.006,
822657.0752 831311.67,
822659.4458 831308.334,
822661.8164 831304.998,
822664.187 831301.662,
822666.4274 831297.3118,
822668.6679 831292.9616,
822670.9083 831288.6113,
822673.1488 831284.2611,
822675.3892 831279.9109,
822677.6297 831275.5607,
822679.8701 831271.2104,
822682.1106 831266.8602,
822684.351 831262.51,
822686.4003 831258.3894,
822688.4495 831254.2688,
822690.4988 831250.1481,
822692.548 831246.0275,
822694.5973 831241.9069,
822696.6465 831237.7863,
822698.6958 831233.6656,
822700.745 831229.545,
822702.5179 831225.1046,
