north(m) east(m),
816078.7277 834893.9124,
816076.3358 834898.2602,
816073.9438 834902.6081,
816071.9174 834907.0537,
816069.8911 834911.4993,
816067.8647 834915.9449,
816065.8384 834920.3905,
816063.812 834924.8361,
816061.7856 834929.2817,
816059.7593 834933.7273,
816057.7329 834938.1729,
816055.7066 834942.6184,
816053.6802 834947.064,
816051.6539 834951.5096,
816049.6275 834955.9552,
816047.6011 834960.4008,
816045.5748 834964.8464,
816043.5484 834969.292,
816041.5221 834973.7376,
816039.4957 834978.1832,
816037.6336 834982.7979,
816035.7716 834987.4125,
816033.9095 834992.0272,
816032.0475 834996.6418,
816030.1854 835001.2565,
816028.3234 835005.8712,
816026.4613 835010.4858,
816024.5993 835015.1005,
816022.7372 835019.7151,
816020.8752 835024.3298,
816019.0131 835028.9445,
816017.1511 835033.5591,
816015.289 835038.1738,
816013.427 835042.7884,
816011.5649 835047.4031,
816010.0767 835051.9297,
816008.5885 835056.4562,
816007.1003 835060.9828,
816005.6121 835065.5093,
816004.1238 835070.0359,
816002.6356 835074.5624,
816001.1474 835079.089,
815999.6592 835083.6155,
815998.171 835088.1421,
815996.6828 835092.6686,
815995.1946 835097.1952,
815993.7064 835101.7217,
815992.2181 835106.2483,
815990.7299 835110.7748,
815989.2417 835115.3014,
815987.7535 835119.8279,
815986.2653 835124.3545,
815985.17 835128.9906,
815984.0746 835133.6267,
815982.9793 835138.2628,
815981.884 835142.8989,
815980.7887 835147.5349,
815979.6933 835152.171,
815978.598 835156.8071,
815977.5027 835161.4432,
815976.4073 835166.0793,
815975.312 835170.7154,
815974.2167 835175.3515,
815973.1213 835179.9876,
815972.026 835184.6236,
815970.9307 835189.2597,
815969.8354 835193.8958,
815968.74 835198.5319,
815967.6447 835203.168,
815966.9253 835208.0403,
815966.2058 835212.9125,
815965.4864 835217.7848,
815964.767 835222.657,
815964.0476 835227.5293,
815963.3281 835232.4015,
815962.6087 835237.2738,
815961.8893 835242.146,
815961.1699 835247.0183,
815960.4504 835251.8905,
815959.731 835256.7628,
815959.0116 835261.6351,
815958.2921 835266.5073,
815957.5727 835271.3796,
815956.8533 835276.2518,
815956.1339 835281.1241,
815955.4144 835285.9963,
815954.695 835290.8686,
815953.9756 835295.7408,
815953.2562 835300.6131,
815952.5367 835305.4853,
815951.8173 835310.3576,
815951.3836 835314.7236,
815950.9499 835319.0896,
815950.5162 835323.4556,
815950.0824 835327.8216,
815949.6487 835332.1876,
815949.215 835336.5536,
815948.7813 835340.9196,
815948.6367 835345.7482,
815948.4922 835350.5768,
815948.3476 835355.4055,
815948.203 835360.2341,
815948.0584 835365.0627,
815947.9139 835369.8913,
815947.7693 835374.72,
815947.6247 835379.5486,
815947.4802 835384.3772,
815947.3356 835389.2058,
815947.191 835394.0344,
815947.0464 835398.8631,
815946.9019 835403.6917,
815946.7573 835408.5203,
815946.5457 835413.4091,
815946.3341 835418.2979,
815946.1225 835423.1867,
815945.9109 835428.0756,
815945.6993 835432.9644,
815945.4877 835437.8532,
815945.2761 835442.742,
815945.0645 835447.6308,
815944.8529 835452.5196,
815944.6413 835457.4084,
815944.4298 835462.2973,
815944.2182 835467.1861,
815944.0066 835472.0749,
815943.795 835476.9637,
815943.5834 835481.8525,
815943.3718 835486.7413,
815943.1602 835491.6301,
815942.9486 835496.5189,
815942.737 835501.4078,
815942.5254 835506.2966,
815942.3138 835511.1854,
815942.1022 835516.0742,
815942.1876 835520.0762,
815942.2731 835524.0782,
815942.3585 835528.0801,
815942.4439 835532.0821,
815941.9294 835536.7251,
815941.4149 835541.3681,
815940.9004 835546.0111,
815940.3859 835550.6541,
815939.8715 835555.297,
815939.357 835559.94,
815938.8425 835564.583,
815938.328 835569.226,
815937.8135 835573.869,
815937.6469 835578.8457,
815937.4803 835583.8223,
815937.3136 835588.799,
815937.147 835593.7756,
815936.9804 835598.7523,
815936.8138 835603.7289,
815936.6471 835608.7056,
815936.4805 835613.6823,
815936.3139 835618.6589,
815936.1473 835623.6356,
815935.9806 835628.6122,
815935.814 835633.5889,
815935.6474 835638.5655,
815935.4808 835643.5422,
815935.3141 835648.5189,
815935.1475 835653.4955,
815934.9809 835658.4722,
815934.8143 835663.4488,
815934.6476 835668.4255,
815934.481 835673.4021,
815934.3144 835678.3788,
815934.1478 835683.3554,
815933.9811 835688.3321,
815933.8145 835693.3088,
815933.6479 835698.2854,
815933.4813 835703.2621,
815933.3146 835708.2387,
815933.148 835713.2154,
815932.9814 835718.192,
815932.8148 835723.1687,
815932.6481 835728.1454,
815932.4815 835733.122,
815932.3149 835738.0987,
815932.1483 835743.0753,
815931.9816 835748.052,
815931.815 835753.0286,
815931.6484 835758.0053,
815931.8425 835762.6289,
815932.0365 835767.2526,
815932.2306 835771.8762,
815932.4246 835776.4999,
815932.6187 835781.1235,
815932.8128 835785.7472,
815933.0068 835790.3708,
815933.2009 835794.9945,
815933.395 835799.6181,
815933.589 835804.2418,
815933.7831 835808.8654,
815933.9771 835813.4891,
815934.1712 835818.1127,
815934.3792 835823.0692,
815934.5873 835828.0257,
815934.7953 835832.9823,
815935.0033 835837.9388,
815935.2113 835842.8953,
815935.4194 835847.8518,
815935.6274 835852.8083,
815935.8354 835857.7649,
815936.0435 835862.7214,
815936.2515 835867.6779,
815936.4595 835872.6344,
815936.6675 835877.5909,
815936.8756 835882.5475,
815937.0836 835887.504,
815937.2916 835892.4605,
815937.4997 835897.417,
815937.7077 835902.3735,
815937.9157 835907.33,
815938.1238 835912.2866,
815938.3318 835917.2431,
815938.5398 835922.1996,
815938.7478 835927.1561,
815938.9559 835932.1126,
815939.1639 835937.0692,
815939.3719 835942.0257,
815939.58 835946.9822,
815939.788 835951.9387,
815939.996 835956.8952,
815940.204 835961.8518,
815940.4121 835966.8083,
815940.6201 835971.7648,
815941.133 835976.7364,
815941.646 835981.7081,
815942.1589 835986.6797,
815942.6719 835991.6514,
815943.1848 835996.623,
815943.6978 836001.5946,
815944.2107 836006.5663,
815944.7237 836011.5379,
815945.2366 836016.5095,
815945.7495 836021.4812,
815946.2625 836026.4528,
815946.7754 836031.4245,
815947.2884 836036.3961,
815947.8013 836041.3677,
815948.3143 836046.3394,
815948.8272 836051.311,
815949.573 836056.1741,
815950.3188 836061.0371,
815951.0647 836065.9002,
815951.8105 836070.7633,
815952.5563 836075.6264,
815953.3021 836080.4894,
815954.048 836085.3525,
815954.7938 836090.2156,
815955.5396 836095.0786,
815956.2854 836099.9417,
815957.0313 836104.8048,
815957.7771 836109.6679,
815958.5229 836114.5309,
815959.2687 836119.394,
815960.0145 836124.2571,
815960.7604 836129.1202,
815961.5062 836133.9832,
815962.252 836138.8463,
815962.9978 836143.7094,
815963.7437 836148.5724,
815964.4895 836153.4355,
815965.2353 836158.2986,
815965.9811 836163.1617,
815966.727 836168.0247,
815967.4728 836172.8878,
815968.2186 836177.7509,
815968.9644 836182.6139,
815969.7103 836187.477,
815970.4561 836192.3401,
815971.2019 836197.2032,
815971.9477 836202.0662,
815972.6935 836206.9293,
815973.4394 836211.7924,
815974.1852 836216.6555,
815974.931 836221.5185,
815975.6768 836226.3816,
815976.4227 836231.2447,
815977.1685 836236.1077,
815977.9143 836240.9708,
815978.6601 836245.8339,
815979.406 836250.697,
815980.1518 836255.56,
815980.8976 836260.4231,
815981.4304 836265.0789,
815981.9633 836269.7348,
815982.4961 836274.3906,
815983.029 836279.0465,
815983.5618 836283.7023,
815984.0947 836288.3582,
815984.6275 836293.014,
815985.1604 836297.6699,
815985.6932 836302.3257,
815986.4059 836307.2317,
815987.1186 836312.1378,
815987.8314 836317.0438,
815988.5441 836321.9498,
815989.2568 836326.8559,
815989.9695 836331.7619,
815990.6823 836336.6679,
815991.395 836341.5739,
815992.1077 836346.48,
815992.8204 836351.386,
815993.5332 836356.292,
815994.2459 836361.1981,
815994.9586 836366.1041,
815995.6713 836371.0101,
815996.3841 836375.9162,
815997.0968 836380.8222,
815997.8095 836385.7282,
815998.5222 836390.6342,
815999.2349 836395.5403,
815999.9477 836400.4463,
816000.6604 836405.3523,
816001.3731 836410.2584,
816002.0858 836415.1644,
816002.7986 836420.0704,
816003.5113 836424.9765,
816004.224 836429.8825,
816004.9367 836434.7885,
816005.6495 836439.6945,
816006.3622 836444.6006,
816007.0749 836449.5066,
816007.7876 836454.4126,
816008.5003 836459.3187,
816009.2131 836464.2247,
816009.9258 836469.1307,
816010.6385 836474.0368,
816011.3512 836478.9428,
816012.064 836483.8488,
816012.7767 836488.7548,
816013.4894 836493.6609,
816014.2021 836498.5669,
816014.9149 836503.4729,
816015.6276 836508.379,
816016.3403 836513.285,
816017.053 836518.191,
816017.7658 836523.0971,
816018.4785 836528.0031,
816019.1912 836532.9091,
816019.9039 836537.8151,
816020.6166 836542.7212,
816021.3294 836547.6272,
816022.0421 836552.5332,
816022.7548 836557.4393,
816023.4675 836562.3453,
816024.1803 836567.2513,
816024.893 836572.1574,
816025.6057 836577.0634,
816026.3184 836581.9694,
816027.0312 836586.8754,
816027.7439 836591.7815,
816028.4566 836596.6875,
816029.1693 836601.5935,
816029.882 836606.4996,
816030.5948 836611.4056,
816031.3075 836616.3116,
816032.0202 836621.2177,
816032.7329 836626.1237,
816033.4457 836631.0297,
816034.1584 836635.9357,
816034.8711 836640.8418,
816035.5838 836645.7478,
816036.2966 836650.6538,
816037.0093 836655.5599,
816037.722 836660.4659,
816038.4347 836665.3719,
816039.1475 836670.278,
816039.8602 836675.184,
816040.5729 836680.09,
816041.2856 836684.996,
816041.9983 836689.9021,
816042.7111 836694.8081,
816043.4238 836699.7141,
816044.1365 836704.6202,
816044.8492 836709.5262,
816045.562 836714.4322,
816046.2747 836719.3383,
816046.9874 836724.2443,
816047.7001 836729.1503,
816048.4129 836734.0563,
816049.1256 836738.9624,
816049.8383 836743.8684,
816050.7853 836748.6384,
816051.7323 836753.4083,
816052.6793 836758.1783,
816053.6262 836762.9483,
816054.5732 836767.7182,
816055.5202 836772.4882,
816056.4672 836777.2582,
816057.4142 836782.0281,
816058.3612 836786.7981,
816059.3081 836791.5681,
816060.2551 836796.338,
816061.2021 836801.108,
816062.1491 836805.878,
816063.0961 836810.6479,
816064.0431 836815.4179,
816064.99 836820.1879,
816065.937 836824.9578,
816066.884 836829.7278,
816068.2511 836834.478,
816069.6182 836839.2283,
816070.9854 836843.9785,
816072.3525 836848.7287,
816073.7196 836853.479,
816075.0867 836858.2292,
816076.4539 836862.9795,
816077.821 836867.7297,
816079.1881 836872.4799,
816080.5552 836877.2302,
816081.9223 836881.9804,
816083.2895 836886.7306,
816084.6566 836891.4809,
816086.0237 836896.2311,
816087.5084 836900.8716,
816088.9931 836905.5121,
816090.4778 836910.1527,
816091.9625 836914.7932,
