north(m) east(m),
816951.6483 836803.5824,
816946.7219 836804.3625,
816941.7955 836805.1427,
816936.8691 836805.9229,
816931.9427 836806.703,
816927.0162 836807.4832,
816922.0898 836808.2634,
816917.1634 836809.0435,
816912.237 836809.8237,
816907.3105 836810.6039,
816902.3841 836811.384,
816897.4577 836812.1642,
816892.5313 836812.9444,
816887.6048 836813.7245,
816882.6784 836814.5047,
816877.752 836815.2849,
816872.8256 836816.0651,
816867.8991 836816.8452,
816862.9727 836817.6254,
816858.0463 836818.4056,
816853.1199 836819.1857,
816848.1935 836819.9659,
816843.267 836820.7461,
816838.3406 836821.5262,
816833.4142 836822.3064,
816828.4878 836823.0866,
816823.5613 836823.8667,
816818.6349 836824.6469,
816813.7085 836825.4271,
816808.7821 836826.2072,
816803.8556 836826.9874,
816798.9292 836827.7676,
816794.0028 836828.5478,
816789.0764 836829.3279,
816784.15 836830.1081,
816779.2235 836830.8883,
816774.2971 836831.6684,
816769.3707 836832.4486,
816764.4443 836833.2288,
816759.5178 836834.0089,
816754.5914 836834.7891,
816749.665 836835.5693,
816744.7386 836836.3494,
816739.8121 836837.1296,
816734.8857 836837.9098,
816729.9593 836838.6899,
816725.0329 836839.4701,
816720.1064 836840.2503,
816715.18 836841.0305,
816710.2536 836841.8106,
816705.3272 836842.5908,
816700.4008 836843.371,
816695.4743 836844.1511,
816690.5479 836844.9313,
816685.6215 836845.7115,
816680.6951 836846.4916,
816675.7686 836847.2718,
816670.8422 836848.052,
816665.9158 836848.8321,
816660.9894 836849.6123,
816656.0629 836850.3925,
816651.1365 836851.1726,
816646.2101 836851.9528,
816641.2837 836852.733,
816636.3573 836853.5132,
816631.4308 836854.2933,
816626.5044 836855.0735,
816621.578 836855.8537,
816616.6516 836856.6338,
816611.7251 836857.414,
816606.7987 836858.1942,
816601.8723 836858.9743,
816596.9459 836859.7545,
816592.0194 836860.5347,
816587.093 836861.3148,
816582.1666 836862.095,
816577.2402 836862.8752,
816572.3137 836863.6553,
816567.3873 836864.4355,
816562.4609 836865.2157,
816557.5345 836865.9959,
816552.6081 836866.776,
816547.6816 836867.5562,
816542.7552 836868.3364,
816537.8288 836869.1165,
816532.9024 836869.8967,
816527.9759 836870.6769,
816523.0495 836871.457,
816518.1231 836872.2372,
816513.1967 836873.0174,
816508.2702 836873.7975,
816503.3438 836874.5777,
816498.4174 836875.3579,
816493.491 836876.138,
816488.5646 836876.9182,
816483.6381 836877.6984,
816478.7117 836878.4786,
816473.7853 836879.2587,
816468.8589 836880.0389,
816463.9324 836880.8191,
816459.006 836881.5992,
816454.0796 836882.3794,
816449.1532 836883.1596,
816444.2267 836883.9397,
816439.3003 836884.7199,
816434.3739 836885.5001,
816429.4475 836886.2802,
816424.521 836887.0604,
816419.5946 836887.8406,
816414.6682 836888.6207,
816409.7418 836889.4009,
