north(m) east(m),
817506.6638 841273.0584,
817504.2127 841268.7563,
817501.7615 841264.4543,
817499.3104 841260.1522,
817496.8593 841255.8502,
817494.4082 841251.5481,
817491.957 841247.2461,
817489.5059 841242.944,
817487.0548 841238.642,
817484.6037 841234.34,
817482.1526 841230.0379,
817479.7014 841225.7359,
817477.2503 841221.4338,
817474.7992 841217.1318,
817472.3481 841212.8297,
817469.8969 841208.5277,
817467.4458 841204.2256,
817464.9947 841199.9236,
817462.5436 841195.6216,
817460.0925 841191.3195,
817457.6413 841187.0175,
817455.1902 841182.7154,
817452.7391 841178.4134,
817450.288 841174.1113,
817447.8368 841169.8093,
817445.3857 841165.5072,
817442.9346 841161.2052,
817440.4835 841156.9032,
817438.0324 841152.6011,
817435.5812 841148.2991,
817433.1301 841143.997,
817430.679 841139.695,
817428.2279 841135.3929,
817425.7767 841131.0909,
817423.3256 841126.7888,
817420.8745 841122.4868,
817418.4234 841118.1848,
817415.9723 841113.8827,
817413.5211 841109.5807,
817411.07 841105.2786,
817408.6189 841100.9766,
817406.1678 841096.6745,
817403.7166 841092.3725,
817401.2655 841088.0704,
817398.8144 841083.7684,
817396.3633 841079.4664,
817393.9122 841075.1643,
817391.461 841070.8623,
817389.0099 841066.5602,
817386.5588 841062.2582,
817384.1077 841057.9561,
817381.6565 841053.6541,
817379.2054 841049.352,
817376.7543 841045.05,
817374.944 841041.8217,
817373.1336 841038.5933,
817371.3233 841035.365,
817369.2561 841031.6748,
817367.189 841027.9847,
817365.1218 841024.2945,
817363.0546 841020.6043,
817360.9875 841016.9142,
817358.9203 841013.224,
817356.4815 841008.8611,
817354.0428 841004.4981,
817351.604 841000.1352,
817349.1652 840995.7722,
817346.7265 840991.4093,
817344.2877 840987.0463,
817341.8489 840982.6834,
817339.4101 840978.3204,
817336.9714 840973.9575,
817334.5326 840969.5945,
817332.0938 840965.2316,
817329.6551 840960.8686,
817327.2163 840956.5057,
817324.7775 840952.1427,
817322.3388 840947.7798,
817319.9 840943.4168,
817317.4612 840939.0539,
817315.0225 840934.6909,
817312.5837 840930.328,
817310.1449 840925.965,
817307.7061 840921.6021,
817305.2674 840917.2391,
817302.8286 840912.8762,
817300.3898 840908.5132,
817297.9511 840904.1503,
817295.5123 840899.7873,
817293.0735 840895.4244,
817290.6348 840891.0614,
817288.196 840886.6985,
817285.7572 840882.3355,
817283.3185 840877.9726,
817280.8797 840873.6096,
817278.4409 840869.2467,
817276.0021 840864.8837,
817273.5634 840860.5208,
817271.1246 840856.1578,
817268.6858 840851.7949,
817266.2471 840847.4319,
817263.8083 840843.069,
817261.3695 840838.7061,
817258.9308 840834.3431,
817256.492 840829.9802,
817254.0532 840825.6172,
817251.6145 840821.2543,
817249.1757 840816.8913,
817246.7369 840812.5284,
817244.2981 840808.1654,
817241.8594 840803.8025,
817239.4206 840799.4395,
817236.9818 840795.0766,
817234.5431 840790.7136,
817232.1043 840786.3507,
817229.6655 840781.9877,
817227.2268 840777.6248,
817224.788 840773.2618,
817222.3492 840768.8989,
817219.9105 840764.5359,
817217.4717 840760.173,
817215.0329 840755.81,
817212.5941 840751.4471,
817210.1554 840747.0841,
817207.7166 840742.7212,
817205.2778 840738.3582,
817202.8391 840733.9953,
817200.4003 840729.6323,
817197.9615 840725.2694,
817195.5228 840720.9064,
817193.084 840716.5435,
817190.6452 840712.1805,
817188.2065 840707.8176,
817185.7677 840703.4546,
817183.3289 840699.0917,
817180.8901 840694.7287,
817178.4514 840690.3658,
817176.0126 840686.0028,
817173.5738 840681.6399,
817171.1351 840677.2769,
817168.6963 840672.914,
817166.282 840668.5972,
817163.8677 840664.2805,
817161.4534 840659.9637,
817159.0391 840655.647,
817156.6247 840651.3302,
817154.2104 840647.0135,
817151.7961 840642.6967,
817149.3818 840638.38,
817146.9675 840634.0632,
817144.5532 840629.7465,
817142.1389 840625.4297,
817139.7246 840621.113,
817137.3102 840616.7962,
817134.8959 840612.4795,
817132.4816 840608.1627,
817130.0673 840603.8459,
817127.653 840599.5292,
817125.2387 840595.2124,
817122.8244 840590.8957,
817120.4101 840586.5789,
817117.9958 840582.2622,
817115.5814 840577.9454,
817113.1671 840573.6287,
817110.7528 840569.3119,
817108.3385 840564.9952,
817105.9242 840560.6784,
817103.5099 840556.3617,
817101.0956 840552.0449,
817098.6813 840547.7282,
817096.2669 840543.4114,
817093.8526 840539.0946,
817091.4383 840534.7779,
817089.024 840530.4611,
817086.6097 840526.1444,
817084.1954 840521.8276,
817081.7811 840517.5109,
817079.3668 840513.1941,
817076.9525 840508.8774,
817074.5381 840504.5606,
817072.1238 840500.2439,
817069.7095 840495.9271,
817067.2952 840491.6104,
817064.8809 840487.2936,
817062.4666 840482.9769,
817060.0523 840478.6601,
817057.638 840474.3434,
817055.2237 840470.0266,
817052.8093 840465.7098,
817050.395 840461.3931,
817047.9807 840457.0763,
817045.5664 840452.7596,
817043.1521 840448.4428,
817040.7378 840444.1261,
817038.3235 840439.8093,
817035.9092 840435.4926,
817033.4948 840431.1758,
817031.0805 840426.8591,
817028.6662 840422.5423,
817026.2519 840418.2256,
817023.8376 840413.9088,
817021.4233 840409.5921,
817019.009 840405.2753,
817016.5947 840400.9585,
817014.1804 840396.6418,
817011.766 840392.325,
817009.3517 840388.0083,
817006.9374 840383.6915,
817004.5231 840379.3748,
817002.1088 840375.058,
816999.6945 840370.7413,
816997.2802 840366.4245,
816994.8659 840362.1078,
816992.4515 840357.791,
816990.0372 840353.4743,
816987.6229 840349.1575,
816985.2086 840344.8408,
816982.7943 840340.524,
816980.4202 840336.2096,
816978.046 840331.8952,
816975.6719 840327.5808,
816973.2977 840323.2664,
816970.9236 840318.9519,
816968.5494 840314.6375,
816966.1753 840310.3231,
816963.8011 840306.0087,
816961.427 840301.6943,
816959.0528 840297.3799,
816956.6787 840293.0655,
816954.3045 840288.7511,
816951.9304 840284.4366,
816949.5562 840280.1222,
816947.1821 840275.8078,
816944.8079 840271.4934,
816942.4338 840267.179,
816940.0596 840262.8646,
816937.6855 840258.5502,
816935.3113 840254.2358,
816932.9372 840249.9213,
816930.563 840245.6069,
816928.1889 840241.2925,
816925.8147 840236.9781,
816923.4406 840232.6637,
816921.0664 840228.3493,
816918.6923 840224.0349,
816916.3181 840219.7205,
816913.944 840215.406,
816911.5698 840211.0916,
816909.1957 840206.7772,
816906.8215 840202.4628,
816904.4474 840198.1484,
816902.0732 840193.834,
816899.6991 840189.5196,
816897.3249 840185.2052,
816894.9508 840180.8907,
816892.5766 840176.5763,
816890.2025 840172.2619,
816887.8283 840167.9475,
816885.4542 840163.6331,
816883.08 840159.3187,
816880.7059 840155.0043,
816878.3317 840150.6899,
816875.9576 840146.3754,
816873.5834 840142.061,
816871.2093 840137.7466,
816868.8351 840133.4322,
816866.461 840129.1178,
816864.0868 840124.8034,
816861.7127 840120.489,
816859.3385 840116.1746,
816856.9644 840111.8601,
816854.5902 840107.5457,
816852.2161 840103.2313,
816849.8419 840098.9169,
816847.4678 840094.6025,
816845.0712 840090.3784,
816842.6746 840086.1543,
816840.278 840081.9302,
816837.8815 840077.7061,
816835.4849 840073.4819,
816833.0883 840069.2578,
816830.6917 840065.0337,
816828.2951 840060.8096,
816826.7141 840058.0236,
816825.1331 840055.2376,
816825.1331 840055.2376,
816824.1069 840053.4293,
816824.1069 840053.4293,
816823.0286 840051.5291,
816821.1087 840047.8577,
816819.1888 840044.1863,
816817.2689 840040.5149,
816816.7653 840039.5479,
816815.7998 840037.6943,
816815.7998 840037.6943,
816814.0955 840034.422,
816812.4231 840031.0613,
816810.7507 840027.7005,
816810.2983 840026.6952,
816809.1994 840024.2531,
816809.1994 840024.2531,
816808.2792 840022.2084,
816805.8384 840017.2431,
816804.0979 840013.8342,
816802.3575 840010.4254,
816802.3575 840010.4254,
816800.7136 840006.9114,
816800.7136 840006.9114,
816799.6195 840004.5727,
816798.9032 840003.0417,
816797.7807 840000.6422,
816797.0957 839999.178,
816795.9119 839996.5475,
816795.1899 839994.9431,
816794.2626 839992.8824,
816794.2626 839992.8824,
816792.5877 839989.1604,
816790.8791 839985.3427,
816789.1704 839981.525,
816786.8581 839976.3584,
816785.1565 839972.5564,
816785.1565 839972.5564,
816783.7485 839969.723,
816781.4138 839965.8314,
816779.0791 839961.9399,
816776.7445 839958.0483,
816774.4098 839954.1568,
816772.0751 839950.2652,
816769.3471 839946.7105,
816766.619 839943.1558,
816763.891 839939.6011,
816761.535 839937.1624,
816759.1789 839934.7237,
816756.8229 839932.285,
816753.9296 839929.5983,
816751.0362 839926.9116,
816748.1429 839924.2249,
816745.0429 839921.5382,
816741.9428 839918.8516,
816738.8428 839916.1649,
816734.9574 839913.9329,
816731.0721 839911.7008,
816727.1867 839909.4688,
816727.1867 839909.4688,
816724.3729 839908.184,
816720.0996 839906.2328,
816715.8263 839904.2815,
816711.8995 839903.1673,
816707.9728 839902.0532,
