north(m) east(m),
815813.8402 834363.807,
815817.4811 834361.1012,
815821.122 834358.3954,
815824.7629 834355.6896,
815828.4039 834352.9838,
815832.0448 834350.278,
815835.6683 834347.1252,
815839.2919 834343.9723,
815842.9154 834340.8195,
815846.5389 834337.6666,
815850.1625 834334.5138,
815853.786 834331.3609,
815857.1967 834328.8266,
815860.6073 834326.2923,
815864.018 834323.758,
815867.4286 834321.2237,
815870.8393 834318.6894,
815874.2499 834316.1551,
815878.2645 834313.2134,
815882.2791 834310.2717,
815886.2938 834307.3301,
815890.3084 834304.3884,
815894.323 834301.4467,
815895.4691 834301.7723,
815899.4698 834302.9091,
815899.4698 834302.9091,
815902.3388 834300.769,
815904.0209 834299.5143,
815905.807 834298.182,
815905.807 834298.182,
815908.0633 834295.0854,
815910.0647 834292.3387,
815912.066 834289.592,
815912.066 834289.592,
815914.029 834287.45,
815914.029 834287.45,
815916.52 834285.546,
815920.1654 834282.8377,
815923.8109 834280.1294,
815927.4563 834277.4211,
815931.1017 834274.7129,
815934.7471 834272.0046,
815938.3926 834269.2963,
815942.038 834266.588,
815945.8785 834263.8345,
815949.719 834261.081,
815953.5595 834258.3275,
815957.4 834255.574,
815961.284 834252.7045,
815965.168 834249.835,
815969.052 834246.9655,
815972.936 834244.096,
815976.82 834241.2265,
815980.704 834238.357,
815984.588 834235.4875,
815988.472 834232.618,
815992.356 834229.7485,
815996.24 834226.879,
816000.043 834224.0631,
816003.26 834221.6811,
816006.477 834219.299,
816009.694 834216.917,
816012.911 834214.535,
816016.8023 834211.495,
816020.6937 834208.455,
816024.585 834205.415,
816028.1069 834202.6634,
816031.6288 834199.9118,
816035.1506 834197.1601,
816038.6725 834194.4085,
816042.1944 834191.6569,
816045.7163 834188.9053,
816049.2381 834186.1536,
816052.76 834183.402,
816056.8297 834180.6634,
816060.8994 834177.9249,
816064.9691 834175.1863,
816069.0387 834172.4477,
816073.1084 834169.7092,
816077.1781 834166.9706,
816077.1781 834166.9706,
816079.3005 834167.0721,
816080.9298 834167.1501,
816084.816 834167.336,
816084.816 834167.336,
816087.0024 834163.6178,
816088.4239 834161.2004,
816089.8454 834158.7829,
816093.5201 834155.859,
816097.1948 834152.935,
816100.8695 834150.0111,
816104.5441 834147.0872,
816108.2188 834144.1632,
816111.8935 834141.2393,
816115.7816 834138.2758,
816119.6696 834135.3124,
816123.5577 834132.3489,
816127.4457 834129.3855,
816131.3338 834126.422,
816135.0409 834125.6317,
816138.7479 834124.8413,
816142.455 834124.051,
816142.455 834124.051,
816143.408 834120.9576,
816143.6874 834120.0505,
816145.0842 834115.5164,
816148.8923 834112.6567,
816152.7003 834109.797,
816156.5084 834106.9372,
816160.3164 834104.0775,
816164.1245 834101.2178,
816167.9325 834098.3581,
816171.7406 834095.4983,
816175.5486 834092.6386,
816179.2881 834091.5707,
816183.0275 834090.5029,
816186.767 834089.435,
816186.767 834089.435,
816188.5542 834086.5857,
816190.3711 834083.689,
816192.1881 834080.7922,
816194.005 834077.8955,
816197.471 834075.2303,
816200.937 834072.5651,
816204.403 834069.8999,
816207.869 834067.2346,
816211.335 834064.5694,
816214.801 834061.9042,
816218.267 834059.239,
816221.658 834056.526,
816225.049 834053.813,
816227.875 834051.5525,
816230.701 834049.292,
816232.8136 834047.1788,
816234.9262 834045.0656,
816237.4699 834041.5496,
816240.0135 834038.0335,
816242.3487 834034.2696,
816244.6838 834030.5056,
816247.019 834026.7417,
816249.3541 834022.9777,
816251.6893 834019.2138,
816254.0022 834015.5538,
816256.3152 834011.8939,
816258.6281 834008.2339,
816260.9411 834004.574,
816263.254 834000.914,
816265.7473 833996.8677,
816268.2407 833992.8213,
816270.734 833988.775,
816273.1055 833985.11,
816275.477 833981.445,
816277.8485 833977.78,
816280.22 833974.115,
816282.8072 833970.3448,
816285.3944 833966.5746,
816287.9816 833962.8044,
816290.5688 833959.0342,
816293.156 833955.264,
816293.156 833955.264,
816296.2156 833953.5636,
